,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
1,173.27.225.164,172.31.0.2,53,37561,0.014118
3,173.27.225.164,172.31.0.2,53,14889,0.000395
5,173.27.225.164,172.31.0.2,53,39120,0.000292
7,173.27.225.164,172.31.0.2,53,11649,0.000256
9,173.27.225.164,172.31.0.2,53,61121,0.029115
11,173.27.225.164,172.31.0.2,53,38076,0.024119
13,173.27.225.164,172.31.0.2,53,16972,0.019579
15,173.27.225.164,172.31.0.2,53,49369,0.000362
17,173.27.225.164,172.31.0.2,53,1126,0.012605
19,173.27.225.164,172.31.0.2,53,17078,0.013789
21,173.27.225.164,172.31.0.2,53,9592,0.00041
23,173.27.225.164,172.31.0.2,53,60103,0.00036
25,173.27.225.164,172.31.0.2,53,59865,0.019652
27,173.27.225.164,172.31.0.2,53,60292,0.000318
29,173.27.225.164,172.31.0.2,53,32107,0.012942
31,173.27.225.164,172.31.0.2,53,63350,0.00271
33,173.27.225.164,172.31.0.2,53,25443,0.013212
35,173.27.225.164,172.31.0.2,53,61253,0.002357
37,173.27.225.164,172.31.0.2,53,44471,0.000419
39,173.27.225.164,172.31.0.2,53,13081,0.000454
41,173.27.225.164,172.31.0.2,53,53842,0.000282
43,173.27.225.164,172.31.0.2,53,27767,0.000301
45,173.27.225.164,172.31.0.2,53,27527,0.000281
47,173.27.225.164,172.31.0.2,53,2166,0.000339
49,173.27.225.164,172.31.0.2,53,39578,0.013233
51,173.27.225.164,172.31.0.2,53,1381,0.014653
53,173.27.225.164,172.31.0.2,53,64630,0.000375
55,173.27.225.164,172.31.0.2,53,55715,0.000347
57,173.27.225.164,172.31.0.2,53,13135,0.01331
59,173.27.225.164,172.31.0.2,53,30055,0.000351
61,173.27.225.164,172.31.0.2,53,55186,0.000334
63,173.27.225.164,172.31.0.2,53,3879,0.000269
65,173.27.225.164,172.31.0.2,53,56773,0.000372
67,173.27.225.164,172.31.0.2,53,24199,0.000393
69,173.27.225.164,172.31.0.2,53,53863,0.00033
71,173.27.225.164,172.31.0.2,53,29942,0.000371
73,173.27.225.164,172.31.0.2,53,58559,0.000968
75,173.27.225.164,172.31.0.2,53,16211,0.0004
77,173.27.225.164,172.31.0.2,53,48043,0.00037
79,173.27.225.164,172.31.0.2,53,32952,0.000435
81,173.27.225.164,172.31.0.2,53,62031,0.012769
83,173.27.225.164,172.31.0.2,53,56925,0.0004
85,173.27.225.164,172.31.0.2,53,60977,0.002368
87,173.27.225.164,172.31.0.2,53,4062,0.000876
89,173.27.225.164,172.31.0.2,53,9162,0.000377
91,173.27.225.164,172.31.0.2,53,38555,0.000283
93,173.27.225.164,172.31.0.2,53,38781,0.036912
95,173.27.225.164,172.31.0.2,53,47274,0.000389
97,173.27.225.164,172.31.0.2,53,36082,0.012266
99,173.27.225.164,172.31.0.2,53,9381,0.000321
101,173.27.225.164,172.31.0.2,53,60847,0.022179
103,173.27.225.164,172.31.0.2,53,49699,0.000378
105,173.27.225.164,172.31.0.2,53,27905,0.000347
107,173.27.225.164,172.31.0.2,53,44232,0.0004
109,173.27.225.164,172.31.0.2,53,3451,0.000347
111,173.27.225.164,172.31.0.2,53,25313,0.001011
113,173.27.225.164,172.31.0.2,53,33386,0.00037
115,173.27.225.164,172.31.0.2,53,20584,0.000356
117,173.27.225.164,172.31.0.2,53,44728,0.000402
119,173.27.225.164,172.31.0.2,53,25871,0.120375
121,173.27.225.164,172.31.0.2,53,40708,0.031409
123,173.27.225.164,172.31.0.2,53,5458,0.000365
125,173.27.225.164,172.31.0.2,53,12168,0.000343
127,173.27.225.164,172.31.0.2,53,33328,0.000349
129,173.27.225.164,172.31.0.2,53,58965,0.00031
131,173.27.225.164,172.31.0.2,53,15179,0.014651
133,173.27.225.164,172.31.0.2,53,56380,0.013037
135,173.27.225.164,172.31.0.2,53,63112,0.081722
137,173.27.225.164,172.31.0.2,53,47754,0.033672
139,173.27.225.164,172.31.0.2,53,1305,0.000392
141,173.27.225.164,172.31.0.2,53,19249,0.000404
143,173.27.225.164,172.31.0.2,53,33176,0.002249
145,173.27.225.164,172.31.0.2,53,58080,0.000371
147,173.27.225.164,172.31.0.2,53,54266,0.000391
149,173.27.225.164,172.31.0.2,53,8310,0.000422
151,173.27.225.164,172.31.0.2,53,16644,0.000307
153,173.27.225.164,172.31.0.2,53,18201,0.000321
155,173.27.225.164,172.31.0.2,53,7750,0.000339
157,173.27.225.164,172.31.0.2,53,40270,0.000868
159,173.27.225.164,172.31.0.2,53,20869,0.000904
161,173.27.225.164,172.31.0.2,53,64606,0.002234
163,173.27.225.164,172.31.0.2,53,64999,0.00075
165,173.27.225.164,172.31.0.2,53,26113,0.000404
167,173.27.225.164,172.31.0.2,53,34585,0.064229
169,173.27.225.164,172.31.0.2,53,7947,0.012209
171,173.27.225.164,172.31.0.2,53,62625,0.022088
173,173.27.225.164,172.31.0.2,53,52016,0.000336
176,173.27.225.164,172.31.0.2,53,62229,0.000995
177,173.27.225.164,172.31.0.2,53,43532,0.059773
180,173.27.225.164,172.31.0.2,53,31577,0.000866
181,173.27.225.164,172.31.0.2,53,42614,0.023384
183,173.27.225.164,172.31.0.2,53,61516,0.000393
185,173.27.225.164,172.31.0.2,53,55293,0.000443
187,173.27.225.164,172.31.0.2,53,45709,0.883407
189,173.27.225.164,172.31.0.2,53,53223,0.000336
191,173.27.225.164,172.31.0.2,53,37723,0.01386
193,173.27.225.164,172.31.0.2,53,35380,0.000437
195,173.27.225.164,172.31.0.2,53,48238,0.000475
197,173.27.225.164,172.31.0.2,53,50827,0.002128
199,173.27.225.164,172.31.0.2,53,1627,0.022051
202,173.27.225.164,172.31.0.2,53,7078,0.013271
203,173.27.225.164,172.31.0.2,53,44362,0.013291
205,173.27.225.164,172.31.0.2,53,36772,0.000391
207,173.27.225.164,172.31.0.2,53,4140,0.002681
209,173.27.225.164,172.31.0.2,53,62264,0.000304
211,173.27.225.164,172.31.0.2,53,42321,0.000786
214,173.27.225.164,172.31.0.2,53,61123,0.000326
215,173.27.225.164,172.31.0.2,53,61020,0.003698
217,173.27.225.164,172.31.0.2,53,45274,0.002305
219,173.27.225.164,172.31.0.2,53,7526,0.004065
221,173.27.225.164,172.31.0.2,53,9901,0.000269
223,173.27.225.164,172.31.0.2,53,28917,0.000913
225,173.27.225.164,172.31.0.2,53,49042,0.017432
229,173.27.225.164,172.31.0.2,53,1133,0.01258
231,173.27.225.164,172.31.0.2,53,32762,0.000351
234,173.27.225.164,172.31.0.2,53,55735,0.000276
235,173.27.225.164,172.31.0.2,53,9451,0.023928
237,173.27.225.164,172.31.0.2,53,23766,0.000317
239,173.27.225.164,172.31.0.2,53,30803,0.000448
241,173.27.225.164,172.31.0.2,53,42546,0.000383
243,173.27.225.164,172.31.0.2,53,23527,0.000447
245,173.27.225.164,172.31.0.2,53,60374,0.000856
247,173.27.225.164,172.31.0.2,53,20045,0.000418
249,173.27.225.164,172.31.0.2,53,31674,0.000375
251,173.27.225.164,172.31.0.2,53,28519,0.001255
253,173.27.225.164,172.31.0.2,53,36379,0.01301
255,173.27.225.164,172.31.0.2,53,65400,0.00035
257,173.27.225.164,172.31.0.2,53,8002,0.01256
264,173.27.225.164,172.31.0.2,53,2002,0.021356
266,173.27.225.164,172.31.0.2,53,29097,0.019535
273,173.27.225.164,172.31.0.2,53,56323,0.012276
275,173.27.225.164,172.31.0.2,53,57984,0.000382
277,173.27.225.164,172.31.0.2,53,22746,0.000986
279,173.27.225.164,172.31.0.2,53,37328,0.000358
281,173.27.225.164,172.31.0.2,53,54981,0.000328
285,173.27.225.164,172.31.0.2,53,29258,0.000483
286,173.27.225.164,172.31.0.2,53,16904,0.000345
287,173.27.225.164,172.31.0.2,53,39967,0.000348
289,173.27.225.164,172.31.0.2,53,35888,0.095244
291,173.27.225.164,172.31.0.2,53,43308,0.000318
293,173.27.225.164,172.31.0.2,53,58999,0.138346
295,173.27.225.164,172.31.0.2,53,40533,0.013416
297,173.27.225.164,172.31.0.2,53,55681,0.000434
302,173.27.225.164,172.31.0.2,53,61127,0.002691
303,173.27.225.164,172.31.0.2,53,32135,0.002771
