,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
304,173.27.225.164,172.31.0.2,53,64963,0.003242
305,173.27.225.164,172.31.0.2,53,25459,0.036598
307,173.27.225.164,172.31.0.2,53,63348,0.01393
309,173.27.225.164,172.31.0.2,53,9490,0.12631
311,173.27.225.164,172.31.0.2,53,56605,0.022081
313,173.27.225.164,172.31.0.2,53,17938,0.012572
315,173.27.225.164,172.31.0.2,53,24527,0.01292
317,173.27.225.164,172.31.0.2,53,50877,0.00088
319,173.27.225.164,172.31.0.2,53,32156,0.000472
321,173.27.225.164,172.31.0.2,53,6131,0.000475
323,173.27.225.164,172.31.0.2,53,49149,0.001077
325,173.27.225.164,172.31.0.2,53,58439,0.015183
327,173.27.225.164,172.31.0.2,53,26492,0.002461
329,173.27.225.164,172.31.0.2,53,53636,0.000329
331,173.27.225.164,172.31.0.2,53,21826,0.044148
333,173.27.225.164,172.31.0.2,53,23836,0.024244
335,173.27.225.164,172.31.0.2,53,36996,0.000266
337,173.27.225.164,172.31.0.2,53,31871,0.000381
339,173.27.225.164,172.31.0.2,53,19666,0.000397
341,173.27.225.164,172.31.0.2,53,3061,0.000442
343,173.27.225.164,172.31.0.2,53,60800,0.000341
345,173.27.225.164,172.31.0.2,53,45795,0.00032
347,173.27.225.164,172.31.0.2,53,51815,0.000392
349,173.27.225.164,172.31.0.2,53,17460,0.000325
351,173.27.225.164,172.31.0.2,53,36133,0.014566
353,173.27.225.164,172.31.0.2,53,28877,0.000956
355,173.27.225.164,172.31.0.2,53,28539,0.000879
357,173.27.225.164,172.31.0.2,53,23725,0.00037
359,173.27.225.164,172.31.0.2,53,15100,0.002631
361,173.27.225.164,172.31.0.2,53,58637,0.002527
363,173.27.225.164,172.31.0.2,53,1163,0.00034
365,173.27.225.164,172.31.0.2,53,9297,0.000356
367,173.27.225.164,172.31.0.2,53,6734,0.001212
369,173.27.225.164,172.31.0.2,53,32745,0.628603
371,173.27.225.164,172.31.0.2,53,34091,0.000213
373,173.27.225.164,172.31.0.2,53,47713,0.054233
375,173.27.225.164,172.31.0.2,53,16942,0.001306
377,173.27.225.164,172.31.0.2,53,27426,0.000404
379,173.27.225.164,172.31.0.2,53,14891,0.00223
381,173.27.225.164,172.31.0.2,53,6658,0.000396
383,173.27.225.164,172.31.0.2,53,30489,0.000376
385,173.27.225.164,172.31.0.2,53,17814,0.00039
387,173.27.225.164,172.31.0.2,53,10570,0.000413
389,173.27.225.164,172.31.0.2,53,40637,0.021392
391,173.27.225.164,172.31.0.2,53,57628,0.000336
393,173.27.225.164,172.31.0.2,53,3247,0.000342
395,173.27.225.164,172.31.0.2,53,11128,0.000395
397,173.27.225.164,172.31.0.2,53,63791,0.022943
399,173.27.225.164,172.31.0.2,53,24451,0.022354
401,173.27.225.164,172.31.0.2,53,28151,0.00038
403,173.27.225.164,172.31.0.2,53,45996,0.000325
405,173.27.225.164,172.31.0.2,53,43461,0.000337
407,173.27.225.164,172.31.0.2,53,43752,0.000416
409,173.27.225.164,172.31.0.2,53,4179,0.000954
411,173.27.225.164,172.31.0.2,53,18520,0.000397
413,173.27.225.164,172.31.0.2,53,35514,0.013178
415,173.27.225.164,172.31.0.2,53,15699,0.000346
417,173.27.225.164,172.31.0.2,53,13515,0.000284
419,173.27.225.164,172.31.0.2,53,45348,0.000335
421,173.27.225.164,172.31.0.2,53,10422,0.025355
423,173.27.225.164,172.31.0.2,53,22778,0.013985
425,173.27.225.164,172.31.0.2,53,4442,0.017924
427,173.27.225.164,172.31.0.2,53,24983,0.002027
429,173.27.225.164,172.31.0.2,53,42330,0.000385
431,173.27.225.164,172.31.0.2,53,57328,0.000342
433,173.27.225.164,172.31.0.2,53,18311,0.012657
435,173.27.225.164,172.31.0.2,53,32555,0.012596
437,173.27.225.164,172.31.0.2,53,1119,0.025837
439,173.27.225.164,172.31.0.2,53,46777,0.000388
441,173.27.225.164,172.31.0.2,53,10987,0.000397
443,173.27.225.164,172.31.0.2,53,41901,0.000987
445,173.27.225.164,172.31.0.2,53,8222,0.000326
447,173.27.225.164,172.31.0.2,53,29963,0.000231
449,173.27.225.164,172.31.0.2,53,37762,0.019932
451,173.27.225.164,172.31.0.2,53,51841,0.000363
453,173.27.225.164,172.31.0.2,53,64684,0.012488
455,173.27.225.164,172.31.0.2,53,18983,0.000945
457,173.27.225.164,172.31.0.2,53,5859,0.000406
459,173.27.225.164,172.31.0.2,53,12712,0.000402
461,173.27.225.164,172.31.0.2,53,42644,0.000993
463,173.27.225.164,172.31.0.2,53,3602,0.000287
465,173.27.225.164,172.31.0.2,53,15290,0.000391
467,173.27.225.164,172.31.0.2,53,35271,0.000385
469,173.27.225.164,172.31.0.2,53,35571,0.00041
471,173.27.225.164,172.31.0.2,53,64512,0.000916
473,173.27.225.164,172.31.0.2,53,59372,0.000838
475,173.27.225.164,172.31.0.2,53,46959,0.000298
477,173.27.225.164,172.31.0.2,53,55891,0.0004
479,173.27.225.164,172.31.0.2,53,29892,0.000385
483,173.27.225.164,172.31.0.2,53,16097,0.002819
484,173.27.225.164,172.31.0.2,53,27150,0.002743
485,173.27.225.164,172.31.0.2,53,53707,0.002619
487,173.27.225.164,172.31.0.2,53,28330,0.000382
489,173.27.225.164,172.31.0.2,53,39004,0.000417
491,173.27.225.164,172.31.0.2,53,27563,0.000392
493,173.27.225.164,172.31.0.2,53,17461,0.169498
495,173.27.225.164,172.31.0.2,53,33967,0.016659
497,173.27.225.164,172.31.0.2,53,57485,0.000382
499,173.27.225.164,172.31.0.2,53,56278,0.000447
501,173.27.225.164,172.31.0.2,53,64316,0.000332
503,173.27.225.164,172.31.0.2,53,48596,0.000339
505,173.27.225.164,172.31.0.2,53,53591,0.000275
507,173.27.225.164,172.31.0.2,53,45103,0.000317
509,173.27.225.164,172.31.0.2,53,51940,0.000325
511,173.27.225.164,172.31.0.2,53,1732,0.000284
513,173.27.225.164,172.31.0.2,53,38453,0.000313
515,173.27.225.164,172.31.0.2,53,55150,0.000452
517,173.27.225.164,172.31.0.2,53,55381,0.036314
519,173.27.225.164,172.31.0.2,53,62551,0.022408
521,173.27.225.164,172.31.0.2,53,33038,0.001027
523,173.27.225.164,172.31.0.2,53,1807,0.000351
525,173.27.225.164,172.31.0.2,53,5315,0.000323
527,173.27.225.164,172.31.0.2,53,59432,0.000398
529,173.27.225.164,172.31.0.2,53,64748,0.000367
531,173.27.225.164,172.31.0.2,53,41026,0.000919
533,173.27.225.164,172.31.0.2,53,1878,0.00036
535,173.27.225.164,172.31.0.2,53,41340,0.00037
537,173.27.225.164,172.31.0.2,53,21204,0.003531
539,173.27.225.164,172.31.0.2,53,4122,0.000318
541,173.27.225.164,172.31.0.2,53,42167,0.000357
543,173.27.225.164,172.31.0.2,53,11393,0.000454
545,173.27.225.164,172.31.0.2,53,45394,0.000381
547,173.27.225.164,172.31.0.2,53,12818,0.000417
549,173.27.225.164,172.31.0.2,53,63045,0.000257
551,173.27.225.164,172.31.0.2,53,28845,0.002271
553,173.27.225.164,172.31.0.2,53,10187,0.000294
555,173.27.225.164,172.31.0.2,53,23318,0.047913
557,173.27.225.164,172.31.0.2,53,20889,0.000226
559,173.27.225.164,172.31.0.2,53,3118,0.013172
561,173.27.225.164,172.31.0.2,53,45764,0.000263
563,173.27.225.164,172.31.0.2,53,44484,0.000329
565,173.27.225.164,172.31.0.2,53,6493,0.09468
567,173.27.225.164,172.31.0.2,53,40695,0.029869
569,173.27.225.164,172.31.0.2,53,62282,0.000252
572,173.27.225.164,172.31.0.2,53,55714,0.000376
573,173.27.225.164,172.31.0.2,53,41044,0.518662
575,173.27.225.164,172.31.0.2,53,53037,0.012345
577,173.27.225.164,172.31.0.2,53,62802,0.000725
579,173.27.225.164,172.31.0.2,53,33347,0.000272
586,173.27.225.164,172.31.0.2,53,27664,0.002391
589,173.27.225.164,172.31.0.2,53,2888,0.00202
590,173.27.225.164,172.31.0.2,53,31492,0.002712
592,173.27.225.164,172.31.0.2,53,63971,0.004515
594,173.27.225.164,172.31.0.2,53,3667,0.000273
596,173.27.225.164,172.31.0.2,53,7593,0.024104
598,173.27.225.164,172.31.0.2,53,24327,0.024389
600,173.27.225.164,172.31.0.2,53,44203,0.002812
602,173.27.225.164,172.31.0.2,53,49234,0.002261
604,173.27.225.164,172.31.0.2,53,6081,0.000381
606,173.27.225.164,172.31.0.2,53,27431,0.000308
608,173.27.225.164,172.31.0.2,53,65256,0.000361
610,173.27.225.164,172.31.0.2,53,55325,0.000395
612,173.27.225.164,172.31.0.2,53,43068,0.00252
614,173.27.225.164,172.31.0.2,53,14034,0.00037
616,173.27.225.164,172.31.0.2,53,48603,0.000251
618,173.27.225.164,172.31.0.2,53,55413,0.000349
620,173.27.225.164,172.31.0.2,53,25947,0.000297
622,173.27.225.164,172.31.0.2,53,60114,0.000334
624,173.27.225.164,172.31.0.2,53,30170,0.00107
626,173.27.225.164,172.31.0.2,53,52924,0.000252
628,173.27.225.164,172.31.0.2,53,14325,0.030405
630,173.27.225.164,172.31.0.2,53,29893,0.012676
632,173.27.225.164,172.31.0.2,53,1584,0.000306
634,173.27.225.164,172.31.0.2,53,44048,0.000302
636,173.27.225.164,172.31.0.2,53,33080,0.014239
638,173.27.225.164,172.31.0.2,53,4188,0.000257
640,173.27.225.164,172.31.0.2,53,60016,0.012607
642,173.27.225.164,172.31.0.2,53,10219,0.000297
644,173.27.225.164,172.31.0.2,53,49147,0.000389
646,173.27.225.164,172.31.0.2,53,29987,0.000366
648,173.27.225.164,172.31.0.2,53,39127,0.000314
650,173.27.225.164,172.31.0.2,53,35707,0.000304
652,173.27.225.164,172.31.0.2,53,63345,0.00025
654,173.27.225.164,172.31.0.2,53,16409,0.000815
656,173.27.225.164,172.31.0.2,53,28502,0.000289
658,173.27.225.164,172.31.0.2,53,55065,0.000292
660,173.27.225.164,172.31.0.2,53,16641,0.00029
662,173.27.225.164,172.31.0.2,53,40865,0.004586
664,173.27.225.164,172.31.0.2,53,18742,0.012513
666,173.27.225.164,172.31.0.2,53,10451,0.000296
668,173.27.225.164,172.31.0.2,53,39766,0.000281
670,173.27.225.164,172.31.0.2,53,19822,0.023962
672,173.27.225.164,172.31.0.2,53,11484,0.012439
674,173.27.225.164,172.31.0.2,53,36341,0.00039
676,173.27.225.164,172.31.0.2,53,39674,0.000299
678,173.27.225.164,172.31.0.2,53,6325,0.000319
680,173.27.225.164,172.31.0.2,53,21883,0.000318
682,173.27.225.164,172.31.0.2,53,35585,0.000337
684,173.27.225.164,172.31.0.2,53,3297,0.000535
686,173.27.225.164,172.31.0.2,53,9091,0.000363
688,173.27.225.164,172.31.0.2,53,47607,0.000394
690,173.27.225.164,172.31.0.2,53,61200,0.000331
692,173.27.225.164,172.31.0.2,53,27920,0.012778
694,173.27.225.164,172.31.0.2,53,55872,0.013371
696,173.27.225.164,172.31.0.2,53,28585,0.056973
698,173.27.225.164,172.31.0.2,53,55908,0.024156
700,173.27.225.164,172.31.0.2,53,41983,0.000439
702,173.27.225.164,172.31.0.2,53,52148,0.000461
704,173.27.225.164,172.31.0.2,53,37953,0.000385
706,173.27.225.164,172.31.0.2,53,36932,0.013219
708,173.27.225.164,172.31.0.2,53,64693,0.000532
710,173.27.225.164,172.31.0.2,53,23464,0.000368
712,173.27.225.164,172.31.0.2,53,1155,0.000336
714,173.27.225.164,172.31.0.2,53,52197,0.000386
716,173.27.225.164,172.31.0.2,53,13736,0.000462
718,173.27.225.164,172.31.0.2,53,61856,0.000224
720,173.27.225.164,172.31.0.2,53,6951,0.00038
722,173.27.225.164,172.31.0.2,53,55946,0.000243
724,173.27.225.164,172.31.0.2,53,23603,0.001327
726,173.27.225.164,172.31.0.2,53,59246,0.000402
729,173.27.225.164,172.31.0.2,53,33460,0.000297
730,173.27.225.164,172.31.0.2,53,13907,0.014649
732,173.27.225.164,172.31.0.2,53,17392,0.000518
734,173.27.225.164,172.31.0.2,53,14533,0.000329
736,173.27.225.164,172.31.0.2,53,61914,0.002215
738,173.27.225.164,172.31.0.2,53,23714,0.012625
740,173.27.225.164,172.31.0.2,53,38354,0.000302
742,173.27.225.164,172.31.0.2,53,22458,0.00217
744,173.27.225.164,172.31.0.2,53,34640,0.000373
746,173.27.225.164,172.31.0.2,53,63401,0.000382
749,173.27.225.164,172.31.0.2,53,59243,0.000295
752,173.27.225.164,172.31.0.2,53,19883,0.000205
753,173.27.225.164,172.31.0.2,53,3077,0.002525
754,173.27.225.164,172.31.0.2,53,52715,0.0217
757,173.27.225.164,172.31.0.2,53,43600,0.000206
759,173.27.225.164,172.31.0.2,53,57687,0.002487
760,173.27.225.164,172.31.0.2,53,12776,0.023708
762,173.27.225.164,172.31.0.2,53,49439,0.000354
764,173.27.225.164,172.31.0.2,53,61320,0.000361
766,173.27.225.164,172.31.0.2,53,35210,0.000375
768,173.27.225.164,172.31.0.2,53,44904,0.000328
770,173.27.225.164,172.31.0.2,53,63342,0.000319
772,173.27.225.164,172.31.0.2,53,62335,0.000323
774,173.27.225.164,172.31.0.2,53,40400,0.000336
776,173.27.225.164,172.31.0.2,53,62166,0.00032
778,173.27.225.164,172.31.0.2,53,56432,0.000249
780,173.27.225.164,172.31.0.2,53,2710,0.000369
782,173.27.225.164,172.31.0.2,53,64306,0.000331
784,173.27.225.164,172.31.0.2,53,35725,0.000339
786,173.27.225.164,172.31.0.2,53,11450,0.002419
789,173.27.225.164,172.31.0.2,53,21677,0.012659
792,173.27.225.164,172.31.0.2,53,41837,0.000387
798,173.27.225.164,172.31.0.2,53,5966,0.00039
800,173.27.225.164,172.31.0.2,53,64345,0.012431
802,173.27.225.164,172.31.0.2,53,57069,0.000265
804,173.27.225.164,172.31.0.2,53,43426,0.000387
806,173.27.225.164,172.31.0.2,53,39168,0.000408
808,173.27.225.164,172.31.0.2,53,27557,0.012565
810,173.27.225.164,172.31.0.2,53,45737,0.000319
812,173.27.225.164,172.31.0.2,53,36771,0.000353
814,173.27.225.164,172.31.0.2,53,11427,0.000333
816,173.27.225.164,172.31.0.2,53,43998,0.013793
818,173.27.225.164,172.31.0.2,53,50308,0.000361
820,173.27.225.164,172.31.0.2,53,4010,0.022117
822,173.27.225.164,172.31.0.2,53,1827,0.00042
824,173.27.225.164,172.31.0.2,53,7575,0.000379
826,173.27.225.164,172.31.0.2,53,44644,0.05701
828,173.27.225.164,172.31.0.2,53,60914,0.022358
830,173.27.225.164,172.31.0.2,53,7845,0.000272
832,173.27.225.164,172.31.0.2,53,46289,0.000338
834,173.27.225.164,172.31.0.2,53,63709,0.001026
836,173.27.225.164,172.31.0.2,53,20358,0.000335
838,173.27.225.164,172.31.0.2,53,29901,0.00132
840,173.27.225.164,172.31.0.2,53,48451,0.000362
842,173.27.225.164,172.31.0.2,53,37575,0.000346
844,173.27.225.164,172.31.0.2,53,60810,0.00127
846,173.27.225.164,172.31.0.2,53,5653,0.04142
848,173.27.225.164,172.31.0.2,53,59534,0.000806
853,173.27.225.164,172.31.0.2,53,32679,0.069494
854,173.27.225.164,172.31.0.2,53,19387,0.047211
855,173.27.225.164,172.31.0.2,53,16548,0.048729
856,173.27.225.164,172.31.0.2,53,1378,0.055805
858,173.27.225.164,172.31.0.2,53,27431,0.003332
861,173.27.225.164,172.31.0.2,53,7454,0.01203
862,173.27.225.164,172.31.0.2,53,39800,0.012095
864,173.27.225.164,172.31.0.2,53,35394,0.012119
866,173.27.225.164,172.31.0.2,53,8345,0.068898
868,173.27.225.164,172.31.0.2,53,41904,0.037924
871,173.27.225.164,172.31.0.2,53,48911,0.011756
872,173.27.225.164,172.31.0.2,53,41390,0.082768
874,173.27.225.164,172.31.0.2,53,9962,0.05738
876,173.27.225.164,172.31.0.2,53,32920,0.000275
878,173.27.225.164,172.31.0.2,53,57134,0.021548
880,173.27.225.164,172.31.0.2,53,24038,0.012104
882,173.27.225.164,172.31.0.2,53,60363,0.004857
884,173.27.225.164,172.31.0.2,53,20290,0.000299
887,173.27.225.164,172.31.0.2,53,61020,0.036509
888,173.27.225.164,172.31.0.2,53,1784,0.057509
890,173.27.225.164,172.31.0.2,53,62844,0.002173
892,173.27.225.164,172.31.0.2,53,62038,0.012424
894,173.27.225.164,172.31.0.2,53,15410,0.026919
896,173.27.225.164,172.31.0.2,53,23411,0.001327
898,173.27.225.164,172.31.0.2,53,22686,0.000342
900,173.27.225.164,172.31.0.2,53,29649,0.012565
902,173.27.225.164,172.31.0.2,53,4039,0.012425
904,173.27.225.164,172.31.0.2,53,53118,0.012498
906,173.27.225.164,172.31.0.2,53,47143,0.002322
908,173.27.225.164,172.31.0.2,53,50411,0.012347
910,173.27.225.164,172.31.0.2,53,58396,0.002246
912,173.27.225.164,172.31.0.2,53,32695,0.001222
914,173.27.225.164,172.31.0.2,53,55552,0.001535
916,173.27.225.164,172.31.0.2,53,1687,0.001321
918,173.27.225.164,172.31.0.2,53,7693,0.000308
920,173.27.225.164,172.31.0.2,53,1037,0.001198
922,173.27.225.164,172.31.0.2,53,23847,0.000355
924,173.27.225.164,172.31.0.2,53,45736,0.012452
926,173.27.225.164,172.31.0.2,53,65193,0.002415
928,173.27.225.164,172.31.0.2,53,62612,0.012454
930,173.27.225.164,172.31.0.2,53,20866,0.000883
932,173.27.225.164,172.31.0.2,53,27302,0.038222
934,173.27.225.164,172.31.0.2,53,46060,0.022009
936,173.27.225.164,172.31.0.2,53,6297,0.022263
938,173.27.225.164,172.31.0.2,53,33101,0.025778
940,173.27.225.164,172.31.0.2,53,22424,0.000404
942,173.27.225.164,172.31.0.2,53,48092,0.000391
944,173.27.225.164,172.31.0.2,53,4806,0.000397
946,173.27.225.164,172.31.0.2,53,3443,0.000438
948,173.27.225.164,172.31.0.2,53,49555,0.00041
950,173.27.225.164,172.31.0.2,53,62087,0.019338
952,173.27.225.164,172.31.0.2,53,47293,0.000833
954,173.27.225.164,172.31.0.2,53,51080,0.000386
956,173.27.225.164,172.31.0.2,53,4241,0.000352
958,173.27.225.164,172.31.0.2,53,55250,0.000248
960,173.27.225.164,172.31.0.2,53,39095,0.000346
962,173.27.225.164,172.31.0.2,53,37156,0.02702
964,173.27.225.164,172.31.0.2,53,53708,0.00027
966,173.27.225.164,172.31.0.2,53,35070,0.012479
968,173.27.225.164,172.31.0.2,53,47617,0.002398
970,173.27.225.164,172.31.0.2,53,35133,0.00223
973,173.27.225.164,172.31.0.2,53,58221,0.000892
974,173.27.225.164,172.31.0.2,53,41916,0.012457
978,173.27.225.164,172.31.0.2,53,14651,0.000416
979,173.27.225.164,172.31.0.2,53,25263,0.000263
980,173.27.225.164,172.31.0.2,53,5576,0.001074
982,173.27.225.164,172.31.0.2,53,38115,0.000378
984,173.27.225.164,172.31.0.2,53,65098,0.020085
986,173.27.225.164,172.31.0.2,53,19342,0.020012
988,173.27.225.164,172.31.0.2,53,40218,0.024399
990,173.27.225.164,172.31.0.2,53,60159,0.012336
992,173.27.225.164,172.31.0.2,53,59734,0.000407
994,173.27.225.164,172.31.0.2,53,60679,0.000383
996,173.27.225.164,172.31.0.2,53,31057,0.000365
998,173.27.225.164,172.31.0.2,53,14029,0.00031
1003,173.27.225.164,172.31.0.2,53,19328,0.000396
1004,173.27.225.164,172.31.0.2,53,25085,0.002198
1005,173.27.225.164,172.31.0.2,53,33585,0.002141
1006,173.27.225.164,172.31.0.2,53,4688,0.002265
1008,173.27.225.164,172.31.0.2,53,4645,0.000291
1010,173.27.225.164,172.31.0.2,53,7319,0.100824
1013,173.27.225.164,172.31.0.2,53,61424,0.000402
1014,173.27.225.164,172.31.0.2,53,10540,0.002142
1017,173.27.225.164,172.31.0.2,53,63357,0.000285
