,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
199,173.27.225.118,172.31.0.2,53.0,30294.0,0.000277
201,173.27.225.118,172.31.0.2,53.0,8243.0,0.0004
205,173.27.225.118,172.31.0.2,53.0,45924.0,0.002595
206,173.27.225.118,172.31.0.2,53.0,32189.0,0.002711
207,173.27.225.118,172.31.0.2,53.0,52793.0,0.003003
209,173.27.225.118,172.31.0.2,53.0,51219.0,0.000328
211,173.27.225.118,172.31.0.2,53.0,20106.0,0.002317
213,173.27.225.118,172.31.0.2,53.0,15818.0,0.000435
215,173.27.225.118,172.31.0.2,53.0,63708.0,0.002115
217,173.27.225.118,172.31.0.2,53.0,1318.0,0.000323
219,173.27.225.118,172.31.0.2,53.0,43793.0,0.021528
221,173.27.225.118,172.31.0.2,53.0,15707.0,0.00032
223,173.27.225.118,172.31.0.2,53.0,43224.0,0.000263
225,173.27.225.118,172.31.0.2,53.0,15467.0,0.000331
227,173.27.225.118,172.31.0.2,53.0,55453.0,0.000362
229,173.27.225.118,172.31.0.2,53.0,14528.0,0.000331
231,173.27.225.118,172.31.0.2,53.0,21324.0,0.000395
233,173.27.225.118,172.31.0.2,53.0,27778.0,0.00034
235,173.27.225.118,172.31.0.2,53.0,46407.0,0.000431
237,173.27.225.118,172.31.0.2,53.0,37941.0,0.000375
239,173.27.225.118,172.31.0.2,53.0,47225.0,0.002104
241,173.27.225.118,172.31.0.2,53.0,2649.0,0.022506
243,173.27.225.118,172.31.0.2,53.0,62164.0,0.000395
245,173.27.225.118,172.31.0.2,53.0,4930.0,0.000412
247,173.27.225.118,172.31.0.2,53.0,37261.0,0.000408
249,173.27.225.118,172.31.0.2,53.0,45449.0,0.002313
251,173.27.225.118,172.31.0.2,53.0,20705.0,0.00031
253,173.27.225.118,172.31.0.2,53.0,2273.0,0.00037
255,173.27.225.118,172.31.0.2,53.0,15793.0,0.000218
257,173.27.225.118,172.31.0.2,53.0,20052.0,0.00034
259,173.27.225.118,172.31.0.2,53.0,50022.0,0.021275
261,173.27.225.118,172.31.0.2,53.0,2605.0,0.021382
263,173.27.225.118,172.31.0.2,53.0,41254.0,0.000419
265,173.27.225.118,172.31.0.2,53.0,54647.0,0.00249
267,173.27.225.118,172.31.0.2,53.0,4723.0,0.000409
269,173.27.225.118,172.31.0.2,53.0,37623.0,0.000347
271,173.27.225.118,172.31.0.2,53.0,63278.0,0.000344
273,173.27.225.118,172.31.0.2,53.0,62111.0,0.000279
275,173.27.225.118,172.31.0.2,53.0,23356.0,0.000283
277,173.27.225.118,172.31.0.2,53.0,16812.0,0.000298
279,173.27.225.118,172.31.0.2,53.0,50630.0,0.000241
281,173.27.225.118,172.31.0.2,53.0,48981.0,0.000327
283,173.27.225.118,172.31.0.2,53.0,22481.0,0.00032
285,173.27.225.118,172.31.0.2,53.0,50048.0,0.002787
288,173.27.225.118,172.31.0.2,53.0,40905.0,0.000808
290,173.27.225.118,172.31.0.2,53.0,10604.0,0.000218
291,173.27.225.118,172.31.0.2,53.0,20110.0,0.021279
293,173.27.225.118,172.31.0.2,53.0,5308.0,0.000336
295,173.27.225.118,172.31.0.2,53.0,4281.0,0.00034
297,173.27.225.118,172.31.0.2,53.0,61541.0,0.019965
299,173.27.225.118,172.31.0.2,53.0,23336.0,0.000985
301,173.27.225.118,172.31.0.2,53.0,1276.0,0.002198
303,173.27.225.118,172.31.0.2,53.0,8930.0,0.000371
305,173.27.225.118,172.31.0.2,53.0,10069.0,0.000327
307,173.27.225.118,172.31.0.2,53.0,42554.0,0.000923
310,173.27.225.118,172.31.0.2,53.0,56627.0,0.001154
312,173.27.225.118,172.31.0.2,53.0,20869.0,0.000378
313,173.27.225.118,172.31.0.2,53.0,35670.0,0.963783
315,173.27.225.118,172.31.0.2,53.0,40817.0,0.000399
317,173.27.225.118,172.31.0.2,53.0,31115.0,0.000308
319,173.27.225.118,172.31.0.2,53.0,31402.0,0.000378
321,173.27.225.118,172.31.0.2,53.0,33257.0,0.000977
323,173.27.225.118,172.31.0.2,53.0,5834.0,0.002494
325,173.27.225.118,172.31.0.2,53.0,65181.0,0.000446
327,173.27.225.118,172.31.0.2,53.0,9858.0,0.00226
329,173.27.225.118,172.31.0.2,53.0,59352.0,0.002468
331,173.27.225.118,172.31.0.2,53.0,8453.0,0.000911
333,173.27.225.118,172.31.0.2,53.0,27117.0,0.06014
335,173.27.225.118,172.31.0.2,53.0,10844.0,0.00222
